calendar_date,item_id,item_name,quantity
2022-01-01,M000000001,The King,9
2022-01-02,M000000001,The King,3
2022-01-03,M000000001,The King,2
2022-01-04,M000000001,The King,2
2022-01-05,M000000001,The King,4
2022-01-06,M000000001,The King,5
2022-01-07,M000000001,The King,0
2022-01-08,M000000001,The King,1
2022-01-09,M000000001,The King,1
2022-01-10,M000000001,The King,3
2022-01-11,M000000001,The King,4
2022-01-12,M000000001,The King,1
2022-01-13,M000000001,The King,5
2022-01-14,M000000001,The King,4
2022-01-15,M000000001,The King,9
2022-01-16,M000000001,The King,2
2022-01-17,M000000001,The King,5
2022-01-18,M000000001,The King,1
2022-01-19,M000000001,The King,3
2022-01-20,M000000001,The King,5
2022-01-21,M000000001,The King,4
2022-01-22,M000000001,The King,2
2022-01-23,M000000001,The King,2
2022-01-24,M000000001,The King,2
2022-01-25,M000000001,The King,1
2022-01-26,M000000001,The King,2
2022-01-27,M000000001,The King,0
2022-01-28,M000000001,The King,4
2022-01-29,M000000001,The King,3
2022-01-30,M000000001,The King,3
2022-01-31,M000000001,The King,5
2022-02-01,M000000001,The King,0
2022-02-02,M000000001,The King,0
2022-02-03,M000000001,The King,4
2022-02-04,M000000001,The King,1
2022-02-05,M000000001,The King,0
2022-02-06,M000000001,The King,1
2022-02-07,M000000001,The King,3
2022-02-08,M000000001,The King,1
2022-02-09,M000000001,The King,1
2022-02-10,M000000001,The King,1
2022-02-11,M000000001,The King,3
2022-02-12,M000000001,The King,0
2022-02-13,M000000001,The King,2
2022-02-14,M000000001,The King,6
2022-02-15,M000000001,The King,2
2022-02-16,M000000001,The King,1
2022-02-17,M000000001,The King,1
2022-02-18,M000000001,The King,3
2022-02-19,M000000001,The King,6
2022-02-20,M000000001,The King,4
2022-02-21,M000000001,The King,2
2022-02-22,M000000001,The King,0
2022-02-23,M000000001,The King,1
2022-02-24,M000000001,The King,3
2022-02-25,M000000001,The King,6
2022-02-26,M000000001,The King,1
2022-02-27,M000000001,The King,0
2022-02-28,M000000001,The King,2
2022-03-01,M000000001,The King,4
2022-03-02,M000000001,The King,2
2022-03-03,M000000001,The King,1
2022-03-04,M000000001,The King,4
2022-03-05,M000000001,The King,0
2022-03-06,M000000001,The King,1
2022-03-07,M000000001,The King,7
2022-03-08,M000000001,The King,0
2022-03-09,M000000001,The King,1
2022-03-10,M000000001,The King,2
2022-03-11,M000000001,The King,2
2022-03-12,M000000001,The King,5
2022-03-13,M000000001,The King,7
2022-03-14,M000000001,The King,6
2022-03-15,M000000001,The King,4
2022-03-16,M000000001,The King,3
2022-03-17,M000000001,The King,0
2022-03-18,M000000001,The King,4
2022-03-19,M000000001,The King,6
2022-03-20,M000000001,The King,2
2022-03-21,M000000001,The King,5
2022-03-22,M000000001,The King,0
2022-03-23,M000000001,The King,3
2022-03-24,M000000001,The King,2
2022-03-25,M000000001,The King,2
2022-03-26,M000000001,The King,2
2022-03-27,M000000001,The King,1
2022-03-28,M000000001,The King,3
2022-03-29,M000000001,The King,0
2022-03-30,M000000001,The King,6
2022-03-31,M000000001,The King,1
